;Name;Size,Page Size 
25X010;(0x80,16)
25X020;(0x100,16)
25X040;(0x200,16)
25X080;(0x400,16)
25X160;(0x800,16)
25X320;(0x1000,32)
25X640;(0x2000,32)
25X128;(0x4000,64)
25X256;(0x8000,64)
25X512;(0x10000,128)
25X1024,95M01;(0x20000,256)
95M02;(0x40000,256)
25X05;(0x10000,0x1000+256)
251005,25X10;(0x20000,0x1000+256)
252005,25X20;(0x40000,0x1000+256)
254005,25X40;(0x80000,0x1000+256)
25Q40;(0x80000,0x3000+256)
258005,25X80;(0x100000,0x1000+256)
251605,25X16;(0x200000,0x1000+256)
25X32;(0x400000,0x1000+256)
25X64;(0x800000,0x1000+256)
25X128;(0x1000000,0x1000+256)
